chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-05-11,62,How Did It End?,Taylor Swift,35,35,2
2024-05-11,63,Adivino,Myke Towers & Bad Bunny,0,63,1
2024-05-11,64,The Albatross,Taylor Swift,30,30,2
2024-05-11,65,Back Then Right Now,Tyler Hubbard,73,62,7
2024-05-11,66,I Hate It Here,Taylor Swift,34,34,2
2024-05-11,67,Obsessed,Olivia Rodrigo,74,14,6
2024-05-11,68,Hell N Back,Bakar Featuring Summer Walker,72,53,4
2024-05-11,69,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,36,36,2
2024-05-11,70,Bulletproof,Nate Smith,79,64,4
2024-05-11,71,I Look In People's Windows,Taylor Swift,39,39,2
2024-05-11,72,Illusion,Dua Lipa,78,43,3
2024-05-11,73,Get In With Me,BossMan DLow,75,49,13
2024-05-11,74,Okay,JT,0,74,1
2024-05-11,75,The Bolter,Taylor Swift,47,47,2
2024-05-11,76,Cinderella,Future; Metro Boomin & Travis Scott,70,6,6
2024-05-11,77,Scared To Start,Michael Marcagi,82,54,11
2024-05-11,78,Peter,Taylor Swift,46,46,2
2024-05-11,79,Mmhmm,BigXthaPlug,77,63,19
2024-05-11,80,Wind Up Missin' You,Tucker Wetmore,76,75,5
2024-05-11,81,Enough (Miami),Cardi B,80,9,7
2024-05-11,82,Cassandra,Taylor Swift,44,44,2
2024-05-11,83,Halfway To Hell,Jelly Roll,93,83,4
2024-05-11,84,La Diabla,Xavi,83,20,20
2024-05-11,85,Tu Name,Fuerza Regida,87,66,11
2024-05-11,86,Outskirts,Sam Hunt,86,66,8
2024-05-11,87,Belong Together,Mark Ambor,0,87,1
2024-05-11,88,23,Chayce Beckham,91,45,18
2024-05-11,89,II Most Wanted,Beyonce & Miley Cyrus,84,6,5
2024-05-11,90,One Of The Girls,The Weeknd; Jennie & Lily Rose Depp,89,51,19
2024-05-11,91,Tucson Too Late,Jordan Davis,92,80,9
2024-05-11,92,Bandit,Don Toliver,0,38,12
2024-05-11,93,We Ride,Bryan Martin,0,93,4
2024-05-11,94,Dirt Cheap,Cody Johnson,0,92,2
2024-05-11,95,Cry,Benson Boone,85,60,4
2024-05-11,96,Wine Into Whiskey,Tucker Wetmore,97,77,6
2024-05-11,97,Feel It,d4vd,95,94,3
2024-05-11,98,Spin You Around (1/24),Morgan Wallen,98,24,14
2024-05-11,99,The Manuscript,Taylor Swift,51,51,2
2024-05-11,100,Let's Go,Key Glock & Young Dolph,90,59,8
2024-05-18,1,Not Like Us,Kendrick Lamar,0,1,1
2024-05-18,2,Million Dollar Baby,Tommy Richman,2,2,2
2024-05-18,3,Euphoria,Kendrick Lamar,11,3,2
2024-05-18,4,Fortnight,Taylor Swift Featuring Post Malone,1,1,3
2024-05-18,5,A Bar Song (Tipsy),Shaboozey,3,3,4
2024-05-18,6,Like That,Future; Metro Boomin & Kendrick Lamar,8,1,7
2024-05-18,7,Family Matters,Drake,0,7,1
2024-05-18,8,Espresso,Sabrina Carpenter,4,4,4
2024-05-18,9,Beautiful Things,Benson Boone,5,2,16
2024-05-18,10,Lose Control,Teddy Swims,6,1,39
2024-05-18,11,Too Sweet,Hozier,7,1,7
2024-05-18,12,Meet The Grahams,Kendrick Lamar,0,12,1
2024-05-18,13,Saturn,SZA,12,6,11
2024-05-18,14,We Can't Be Friends (Wait For Your Love),Ariana Grande,19,1,9
2024-05-18,15,I Can Do It With A Broken Heart,Taylor Swift,9,3,3
2024-05-18,16,Down Bad,Taylor Swift,10,2,3
2024-05-18,17,Push Ups,Drake,17,17,3
2024-05-18,18,Lovin On Me,Jack Harlow,15,1,26
2024-05-18,19,Stick Season,Noah Kahan,23,9,32
2024-05-18,20,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,24,1,37
2024-05-18,21,Get It Sexyy,Sexyy Red,32,20,8
2024-05-18,22,Feather,Sabrina Carpenter,29,21,23
2024-05-18,23,I Like The Way You Kiss Me,Artemas,26,12,7
2024-05-18,24,Cruel Summer,Taylor Swift,28,1,53
2024-05-18,25,Greedy,Tate McRae,27,3,34
2024-05-18,26,Who's Afraid Of Little Old Me?,Taylor Swift,13,9,3
2024-05-18,27,Type Shit,Future; Metro Boomin; Travis Scott & Playboi Carti,31,2,7
2024-05-18,28,So Long; London,Taylor Swift,14,5,3
2024-05-18,29,Yeah Glo!,GloRilla,38,29,13
2024-05-18,30,But Daddy I Love Him,Taylor Swift,18,7,3
2024-05-18,31,My Boy Only Breaks His Favorite Toys,Taylor Swift,16,6,3
2024-05-18,32,Agora Hills,Doja Cat,33,7,33
2024-05-18,33,Florida!!!,Taylor Swift Featuring Florence + The Machine,20,8,3
2024-05-18,34,Austin,Dasha,43,28,9
2024-05-18,35,Guilty As Sin?,Taylor Swift,22,10,3
2024-05-18,36,Texas Hold 'Em,Beyonce,25,1,13
2024-05-18,37,Miles On It,Marshmello & Kane Brown,0,37,1
2024-05-18,38,The Tortured Poets Department,Taylor Swift,21,4,3
2024-05-18,39,End Of Beginning,Djo,39,11,12
2024-05-18,40,Wanna Be,GloRilla & Megan Thee Stallion,34,11,5
2024-05-18,41,Whatever She Wants,Bryson Tiller,41,19,12
2024-05-18,42,Cowgirls,Morgan Wallen Featuring ERNEST,0,40,21
2024-05-18,43,Redrum,21 Savage,46,5,17
2024-05-18,44,Never Lose Me,Flo Milli,45,15,21
2024-05-18,45,Where It Ends,Bailey Zimmerman,50,32,19
2024-05-18,46,Good Luck; Babe!,Chappell Roan,48,44,5
2024-05-18,47,Act II: Date @ 8,4Batz Featuring Drake,53,7,18
2024-05-18,48,Gata Only,FloyyMenor X Cris Mj,44,27,8
2024-05-18,49,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,42,1,13
2024-05-18,50,Illusion,Dua Lipa,72,43,4
2024-05-18,51,The Smallest Man Who Ever Lived,Taylor Swift,30,14,3
2024-05-18,52,Slow It Down,Benson Boone,61,40,7
2024-05-18,53,loml,Taylor Swift,36,12,3
2024-05-18,54,Fresh Out The Slammer,Taylor Swift,35,11,3
2024-05-18,55,Made For Me,Muni Long,54,20,17
2024-05-18,56,The Alchemy,Taylor Swift,37,13,3
2024-05-18,57,Wild Ones,Jessie Murph & Jelly Roll,57,35,31
2024-05-18,58,FE!N,Travis Scott Featuring Playboi Carti,60,5,27
2024-05-18,59,Obsessed,Olivia Rodrigo,67,14,7
2024-05-18,60,Wildflowers And Wild Horses,Lainey Wilson,55,48,15
2024-05-18,61,Get In With Me,BossMan DLow,73,49,14
2024-05-18,62,imgonnagetyouback,Taylor Swift,49,26,3
2024-05-18,63,I Can Fix Him (No Really I Can),Taylor Swift,40,20,3
2024-05-18,64,Bulletproof,Nate Smith,70,64,5
2024-05-18,65,So High School,Taylor Swift,47,24,3
2024-05-18,66,Tell Ur Girlfriend,Lay Bankz,58,58,4
